statename,county,district,start_district,end_district,partial,state,state_code,FIPS,s_date1,s_date2,s_date3,e_date1,e_date2,e_date3
ALABAMA,AUTAUGA,Middle District,5/4/1852,1/1/2014,,AL,1,1001,5,4,1852,1,1,2014
ALABAMA,BALDWIN,Southern District,8/7/1848,1/1/2014,,AL,1,1003,8,7,1848,1,1,2014
ALABAMA,BARBOUR,Middle District,5/4/1852,1/1/2014,,AL,1,1005,5,4,1852,1,1,2014
ALABAMA,BIBB,Middle District,5/4/1852,  3/3/1911,,AL,1,1007,5,4,1852,3,3,1911
ALABAMA,BIBB,Northern District,  3/3/1911,1/1/2014,,AL,1,1007,3,3,1911,1,1,2014
ALABAMA,BLOUNT,Northern District,8/7/1848,1/1/2014,,AL,1,1009,8,7,1848,1,1,2014
ALABAMA,BULLOCK,Middle District,12/5/1866,1/1/2014,,AL,1,1011,12,5,1866,1,1,2014
ALABAMA,BUTLER,Middle District,5/4/1852,1/1/2014,,AL,1,1013,5,4,1852,1,1,2014
ALABAMA,CALHOUN,Northern District,  3/3/1911,1/1/2014,,AL,1,1015,3,3,1911,1,1,2014
ALABAMA,CALHOUN,Northern District,8/7/1848,  3/3/1911,,AL,1,1015,8,7,1848,3,3,1911
ALABAMA,CHAMBERS,Middle District,5/4/1852,1/1/2014,,AL,1,1017,5,4,1852,1,1,2014
ALABAMA,CHEROKEE,Northern District,8/7/1848,1/1/2014,,AL,1,1019,8,7,1848,1,1,2014
ALABAMA,CHILTON,Middle District,12/30/1868,1/1/2014,,AL,1,1021,12,30,1868,1,1,2014
ALABAMA,CHOCTAW,Southern District,8/7/1848,1/1/2014,,AL,1,1023,8,7,1848,1,1,2014
ALABAMA,CLARKE,Southern District,8/7/1848,1/1/2014,,AL,1,1025,8,7,1848,1,1,2014
ALABAMA,CLAY,Middle District,12/7/1866,3/3/1911,,AL,1,1027,12,7,1866,3,3,1911
ALABAMA,CLAY,Northern District,  3/3/1911,1/1/2014,,AL,1,1027,3,3,1911,1,1,2014
ALABAMA,CLEBURNE,Northern District,12/6/1866,1/1/2014,,AL,1,1029,12,6,1866,1,1,2014
ALABAMA,COFFEE,Middle District,5/4/1852,1/1/2014,,AL,1,1031,5,4,1852,1,1,2014
ALABAMA,COLBERT,Northern District,2/6/1867,1/1/2014,,AL,1,1033,2,6,1867,1,1,2014
ALABAMA,CONECUH,Southern District,8/7/1848,1/1/2014,,AL,1,1035,8,7,1848,1,1,2014
ALABAMA,COOSA,Middle District,5/4/1852,1/1/2014,,AL,1,1037,5,4,1852,1,1,2014
ALABAMA,COVINGTON,Middle District,5/4/1852,1/1/2014,,AL,1,1039,5,4,1852,1,1,2014
ALABAMA,CRENSHAW,Middle District,11/30/1866,1/1/2014,,AL,1,1041,11,30,1866,1,1,2014
ALABAMA,CULLMAN,Northern District,1/24/1877,1/1/2014,,AL,1,1043,1,24,1877,1,1,2014
ALABAMA,DALE,Middle District,5/4/1852,1/1/2014,,AL,1,1045,5,4,1852,1,1,2014
