id,court_type,court_name,start_date,end_date,states,partial_district,full_district,displayed,in_box
1,U.S. Court of Appeals,U.S. Court of Appeals for the District of Columbia Circuit,1905-01-05,2024-01-16,['District of Columbia'],,,,
2,U.S. Court of Appeals,U.S. Court of Appeals for the Eighth Circuit,1892-03-17,1929-03-27,"['Nebraska', 'Minnesota', 'Iowa', 'Arkansas', 'South Dakota', 'Missouri', 'North Dakota', 'Kansas', 'Colorado', 'New Mexico', 'Utah', 'Wyoming', 'Oklahoma']",,,,
3,U.S. Court of Appeals,U.S. Court of Appeals for the Eighth Circuit,1929-03-28,2262-01-01,"['Nebraska', 'Minnesota', 'Iowa', 'Arkansas', 'South Dakota', 'Missouri', 'North Dakota']",,,,
4,U.S. Court of Appeals,U.S. Court of Appeals for the Eleventh Circuit,1981-10-01,2025-01-02,"['Alabama', 'Georgia', 'Florida']",,,,
5,U.S. Court of Appeals,U.S. Court of Appeals for the Federal Circuit,1982-10-01,2022-03-16,,,,,
6,U.S. Court of Appeals,U.S. Court of Appeals for the Fifth Circuit,1891-06-16,1981-09-30,"['Louisiana', 'Texas', 'Mississippi', 'Alabama', 'Georgia', 'Florida']",,,,
7,U.S. Court of Appeals,U.S. Court of Appeals for the Fifth Circuit,1981-10-01,2262-01-01,"['Louisiana', 'Texas', 'Mississippi']",,,,
8,U.S. Court of Appeals,U.S. Court of Appeals for the First Circuit,1891-06-16,2025-02-22,"['Rhode Island', 'New Hampshire', 'Massachusetts', 'Maine', 'Puerto Rico']",,,,
9,U.S. Court of Appeals,U.S. Court of Appeals for the Fourth Circuit,1892-03-17,2024-03-19,"['Maryland', 'South Carolina', 'West Virginia', 'North Carolina', 'Virginia']",,,,
10,U.S. Court of Appeals,U.S. Court of Appeals for the Ninth Circuit,1892-03-18,2023-11-15,"['Montana', 'Washington', 'Idaho', 'Arizona', 'Nevada', 'Alaska', 'California', 'Oregon', 'Hawaii', 'Guam', 'Northern Marianas Islands']",,,,
11,U.S. Court of Appeals,U.S. Court of Appeals for the Second Circuit,1891-06-16,2024-07-13,"['Vermont', 'Connecticut', 'New York']",,,,
12,U.S. Court of Appeals,U.S. Court of Appeals for the Seventh Circuit,1902-01-21,2024-12-04,"['Wisconsin', 'Illinois', 'Indiana']",,,,
13,U.S. Court of Appeals,U.S. Court of Appeals for the Sixth Circuit,1909-03-16,2024-09-19,"['Tennessee', 'Ohio', 'Kentucky', 'Michigan']",,,,
14,U.S. Court of Appeals,U.S. Court of Appeals for the Tenth Circuit,1929-03-28,2023-12-13,"['Kansas', 'Colorado', 'New Mexico', 'Utah', 'Wyoming', 'Oklahoma']",,,,
15,U.S. Court of Appeals,U.S. Court of Appeals for the Third Circuit,1899-03-29,2025-01-15,"['US Virgin Islands', 'Pennsylvania', 'New Jersey', 'Delaware']",,,,
